configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,is_baseline,is_confirmed,screening_rank,runs,screening_hypervolume_mean,screening_hypervolume_std,confirmation_hypervolume_mean,confirmation_hypervolume_std,hypervolume_mean,hypervolume_std,hypervolume_ci95_low,hypervolume_ci95_high,igd_plus_mean,igd_plus_std,spacing_mean,runtime_seconds_mean,runtime_seconds_std,front_size_mean,compromise_engine_speed_rpm_mean,compromise_engine_speed_rpm_std,compromise_ignition_timing_degrees_mean,compromise_ignition_timing_degrees_std,compromise_efficiency_percent_mean,compromise_efficiency_percent_std,compromise_power_kw_per_kg_mean,compromise_power_kw_per_kg_std
C25,12,41,0.9,20.0,10.0,1.0,11,504,False,False,25,7,0.8381577242246046,0.0021325360213381587,,,0.8381577242246046,0.0021325360213381587,0.8367473236745797,0.8396983974584445,0.010040590331647914,0.0011967386698550216,0.06700815946487848,9.671196414423841,0.58315077497527,12.0,5192.060760374549,455.16557361067686,-37.23180917433039,4.311523492415346,35.59097991807369,0.4325032943079568,15385.164438184525,1161.196571855541
C26,24,20,1.0,10.0,20.0,0.25,23,504,False,False,29,7,0.8337675740450666,0.005803256897433854,,,0.8337675740450666,0.005803256897433854,0.8291821247950916,0.8368536383875383,0.0067187161694846325,0.0011124814282183091,0.027129751032131225,9.09850621383105,0.6883265035360946,23.285714285714285,5221.293377963854,116.82953896720966,-37.41592489704332,2.0855450453140487,35.58556318631133,0.09212587932264173,15482.795797463858,307.264126563114
C27,36,13,0.7,10.0,10.0,0.5,35,504,False,False,4,7,0.845747466238279,0.0018442102483456938,,,0.845747466238279,0.0018442102483456938,0.8444832885274602,0.8469900144569089,0.004224964903226787,0.00024238922184908833,0.022002285433678936,9.716106399627668,1.5338387886074605,34.0,5268.280030244679,154.86451970317634,-37.879218936138436,1.432355350224675,35.55117066206272,0.1409335296878096,15606.235576684863,396.7198253031955
C28,56,8,1.0,10.0,40.0,0.25,55,504,False,False,19,7,0.8398733978031562,0.007519333217846357,,,0.8398733978031562,0.007519333217846357,0.8343745508345892,0.8444432873164879,0.005101669999011258,0.0014297540924922882,0.011655242223680962,9.086089985445142,0.3295289065203493,51.142857142857146,5318.4023018719445,226.0747014012054,-39.12614058120597,2.4940162611526304,35.483333147604284,0.21012987848941145,15722.880549431813,576.3166875549351
C29,24,20,0.7,10.0,10.0,1.0,23,504,False,False,5,7,0.8453842808647892,0.0007694203418308042,,,0.8453842808647892,0.0007694203418308042,0.8448329429929601,0.8458937165054315,0.005008027151807955,0.0004995713167447708,0.025863683174616344,9.263912128550666,0.3758685526371838,24.0,5232.157642583363,255.3884130044986,-36.979101923363025,3.151521610566506,35.57146190065314,0.24096068790514263,15505.23770172119,648.6530815145518
C30,56,8,1.0,20.0,40.0,0.5,55,504,False,False,10,7,0.8428588891561413,0.004251954472581207,,,0.8428588891561413,0.004251954472581207,0.8395466612530411,0.8449959213575546,0.004240685654422104,0.0007449188164889417,0.010324717911236446,9.02426654339901,0.692126187381906,53.857142857142854,5392.298767354785,253.79592817359708,-39.11043158717531,1.993833056782939,35.43534121550555,0.23763594744090893,15918.854683887203,637.9092353122263
C31,36,13,1.0,20.0,20.0,0.5,35,504,False,False,23,7,0.8386551044659463,0.004124251815136711,,,0.8386551044659463,0.004124251815136711,0.8355823490385131,0.8412575329279229,0.0048980975856779945,0.0009865042578812177,0.015337117470082661,9.204061357304454,0.4292174277791088,34.42857142857143,5208.101245418978,126.88522105601461,-37.59982279439464,0.682676219700067,35.60563867945344,0.10980076937371129,15452.156064969417,329.109860579505
C32,12,41,0.7,10.0,20.0,1.0,11,504,False,False,14,7,0.8406110938259632,0.002087067458111748,,,0.8406110938259632,0.002087067458111748,0.8391917290924173,0.8419991203702751,0.009005232103187863,0.0013243355343645362,0.04835892322683593,9.778938257002405,0.49938384873508634,12.0,5237.328311772729,434.65226647366825,-37.85237116395484,4.230542736935533,35.55936015322338,0.3927337083848799,15507.499750005009,1125.484403918287
C33,56,8,0.9,30.0,20.0,0.25,55,504,False,False,17,7,0.839990779755998,0.0039122032616910095,,,0.839990779755998,0.0039122032616910095,0.8374490900713725,0.8427416160174804,0.004710794441797564,0.0006831595878100406,0.009870602243910745,8.689908085390925,0.7836506856633073,49.57142857142857,5342.147540773644,178.4582670748823,-38.87610958049089,2.243181913648955,35.468524949749124,0.163660766561988,15787.765048740976,451.06875157303494
C34,56,8,0.9,30.0,10.0,1.0,55,504,False,True,2,21,0.8465253712096902,0.0026056693641668643,0.8472529434433941,0.0013964350480485618,0.8470104193654928,0.0018514566018109175,0.8461981155710918,0.8477020528072096,0.003009430806094678,0.00026243001012056386,0.010920173628356643,8.793340809111085,0.7034427270434721,56.0,5244.982103930226,181.6247736275762,-37.186615203950545,1.3668440001979898,35.56830985885845,0.16949616356013095,15543.82103000041,464.35029808952845
C35,36,13,0.9,30.0,20.0,0.25,35,504,False,False,33,7,0.8309011142123975,0.014617517563623048,,,0.8309011142123975,0.014617517563623048,0.8202533079716128,0.8402188529806284,0.00713499097889015,0.0019417693374196145,0.023831524880438198,9.460815628724438,0.4534869199493306,33.57142857142857,5285.948760989855,122.3140714957184,-37.27419868228385,1.827061168443925,35.518403162184896,0.10905587725080654,15644.79400084115,317.472768584822
C36,56,8,0.9,20.0,20.0,0.25,55,504,False,False,20,7,0.8398119306378105,0.004648183043104667,,,0.8398119306378105,0.004648183043104667,0.836591942458087,0.8428488631961008,0.004755744996223963,0.0012119161936533754,0.01161737074509864,9.36555970034429,0.7705026705836989,50.857142857142854,5289.1186622050745,213.39747588986648,-38.619931273869035,1.5056737248684822,35.52667724327425,0.1953486835333369,15655.759805736749,542.8071393270843
