thermal_efficiency_percent,net_specific_power_kw_per_kg
31.730688253412474,24070.21455457983
31.73290120932753,24066.472880852274
31.738305120604387,24060.990808537863
31.741842742053706,24054.468661087343
31.74381545288414,24050.543076532296
31.748107462989346,24041.959060021145
31.74825866403487,24037.261208487827
31.751458166731695,24026.02119933521
31.75807583900972,24022.153399801526
31.764280435258136,24013.779270345854
31.768191445227238,24005.615550726492
31.772669505094303,23997.593642132902
31.77429499440575,23993.683045539878
31.78309385401186,23979.684607850726
31.790049009978333,23966.5799989045
31.79158124621772,23964.26550090596
31.794141648759748,23959.554736571157
31.797379701399763,23947.310750530334
31.800962017482103,23945.980487005694
31.80432226267162,23940.349342865688
31.80611187304653,23937.72913926513
31.809147550113654,23924.186867488585
31.81057021696351,23923.754176259314
31.81473352679733,23921.702761489738
31.815884689974474,23918.535438663846
31.81669597973471,23913.778040691042
31.819353954111417,23896.229627230936
31.827617919148466,23896.190411234085
31.83145922521681,23888.639577374783
31.833020122811156,23887.697492559357
31.838841518073437,23878.012555892758
31.84797466982266,23858.550831245306
31.850423472131524,23856.545251401698
31.853364934958485,23851.155916987038
31.85384245617049,23850.517089956662
31.853996678005064,23847.595256848806
31.857259419640542,23844.31982581372
31.85765493139693,23839.770255191288
31.859725368509707,23839.63747402344
31.86597133315309,23827.58246111162
31.868387397607457,23823.703729200537
31.872965312492887,23814.784848817024
31.873120993087227,23814.765652163496
31.877521301778373,23802.228147984773
31.882774518913408,23797.51261307024
31.891031994671863,23782.35542265196
31.893455669637312,23777.91151308677
31.896056224513476,23770.595828695143
31.89868321372802,23767.987431026668
31.90152723677614,23756.837485647568
31.90806254092309,23749.80094419578
31.910324858568757,23746.89674920648
31.911455420170228,23739.136541826683
31.915878281269222,23735.379176451625
31.918521165964343,23729.326358207658
31.920212709054972,23727.517650156635
31.92225993856966,23723.485777393238
31.922719474301793,23721.675070043937
31.929323322520258,23711.8482040753
31.933291314067848,23704.56087386353
31.935497230790467,23699.70476054612
31.937327183445106,23696.407337818167
31.941598229190355,23687.631085699144
31.94431592744649,23682.408043339132
31.949760237463394,23673.789819273923
31.955577441608035,23657.77752249979
31.963612233978765,23646.937450561298
31.96436342544753,23646.896379181417
31.96636471951991,23642.866482751157
31.96816089393511,23640.19100218095
31.971146741736874,23621.18920987762
31.97320628379473,23619.61442993869
31.975619887090257,23614.68940236244
31.981031610751494,23614.19188570707
31.983741756000516,23611.263386288316
31.98787906361883,23600.455946625407
31.994504926794498,23584.376278426542
32.000195250542404,23580.2230712431
32.00067789664446,23579.93845511858
32.00098569476259,23577.128079748254
32.00598241182027,23566.496277416903
32.01079018090457,23560.618453019062
32.01164518277854,23557.119503826834
32.01252025673719,23554.49598403665
32.018796982214894,23538.50677247334
32.02080198828005,23536.343878223757
32.02706529694023,23530.88333895023
32.02743804860469,23528.738963162137
32.03201524228936,23521.473482740566
32.03224685336512,23521.219604116694
32.032971926389266,23513.246578350183
32.03526377036383,23512.31681162642
32.04319857685046,23498.094286270076
32.0438897293399,23497.196787229346
32.04691321189087,23491.12459380339
32.054074319046386,23479.779402457996
32.05470491999524,23479.20732494626
32.055465022129006,23477.236738117004
32.05553874565393,23475.441965663646
32.059413214105916,23468.899107565663
32.06415550182488,23461.865318438617
32.06732915753741,23454.848982047406
32.06893209875323,23451.599316248612
32.07275115923088,23440.2262760209
32.077511080285056,23434.46440603122
32.08200926266545,23426.849536849553
32.083658998926644,23418.920961430566
32.08646361885766,23414.919052674893
32.089649743837526,23413.02263801398
32.092303153940364,23407.90076845915
32.09479919716818,23404.4580078586
32.09553625294221,23394.255648491446
32.10247818523321,23389.907553742578
32.104571561174566,23385.97140170115
32.104580979773566,23384.56812716357
32.108754684076075,23377.791136343792
32.11149860604942,23373.167211750308
32.11445385861953,23366.779352709906
32.11665342725422,23363.52852881962
32.12055977851554,23356.23237887378
32.124428385478225,23348.887747009794
32.12643610273191,23345.333549600567
32.12876386815397,23339.808086362904
32.134872614984,23329.091869426193
32.13697430619912,23323.713605234105
32.13949262991976,23320.832553353208
32.14572577225677,23307.49656349529
32.14980936042118,23300.980786203138
32.151670118822715,23295.645206347097
32.158737287476505,23283.50608687196
32.166340683113035,23270.2629719001
32.16727320704978,23263.396327428156
32.16875605548829,23261.047831514818
32.1717988145844,23258.160861034597
32.175447765592445,23247.71246903066
32.18060544673427,23240.01837461478
32.18315359713662,23238.615750203026
32.19417689372057,23217.763585249242
32.195515553570424,23214.500554665465
32.196208463823275,23214.032411735792
32.19729935298679,23208.117810883316
32.20509329233451,23196.443642157814
32.205739037981616,23193.18744713641
32.21202551114018,23180.910099384608
32.21344833464776,23174.198849108794
32.21819576546373,23172.331519968757
32.220593049804705,23161.784714191625
32.224977576502134,23159.040963812593
32.22616931374222,23156.84813218046
32.22879241962326,23151.14316250884
32.22885728078208,23146.544433389765
32.230790027528144,23145.9365323707
32.23270175200753,23144.908653269264
32.23320937403213,23142.340723582194
32.23494146229418,23139.764758170822
32.24019536833228,23129.16059550981
32.24199641729496,23127.40477002209
32.24351489827647,23123.849247701964
32.24535928613629,23117.419145699783
32.248184741800074,23115.468169633208
32.25081196679162,23105.440752915798
32.254033110890624,23102.90370064777
32.25910035411581,23089.79853525285
32.262775705315924,23085.74908313397
32.267689703788186,23075.329998269557
32.26966953733231,23071.914679047393
32.2701432544585,23071.642632895862
32.27297912395636,23067.87550215473
32.273082333277046,23067.72494790091
32.275972803516886,23062.01215408685
32.27631803505845,23046.00255095239
32.28560673860395,23044.279746675384
32.28860254466264,23038.610951521423
32.28950586049392,23037.033287395952
32.2946168331338,23027.03140167097
32.29633194969239,23023.4351148518
32.29880027999029,23018.78779716432
32.29914745569699,23018.74922831138
32.306163433524745,23005.145050539737
32.308810764103974,23000.298025256365
32.31275982478388,22991.046611786183
32.31645167841564,22985.701457059306
32.31680046320666,22984.29470817424
32.320879183123424,22974.453763986145
32.32623472201763,22966.775764979713
32.327742298204306,22954.61533613818
32.33590042857295,22948.19183529663
32.33798844091483,22944.60850010987
32.33899182619427,22940.809899824882
32.348006562306665,22923.70448601153
32.348881616717215,22923.200666606343
32.35322048375191,22915.45983239315
32.35383408453071,22914.272060959902
32.35498004883793,22911.270434741404
32.357534074665935,22907.17805633172
32.36336361651135,22892.415907378516
32.36895150066482,22884.40930736957
32.376216170479005,22871.325403511342
32.37647627031407,22869.328824140783
32.37853205254438,22865.52191793876
32.37879278117276,22862.80765155945
32.38171720051273,22859.828401846593
32.38200267805064,22859.32086021501
