crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
0.2792526803,2.851998278e-05,0.05926893449,2968.045056,931.1345327,710.6786183,10.67464596,-2.240445527,0.3087830878
0.2879793266,2.888392948e-05,0.06002527203,2956.446441,939.3316957,719.1128187,10.72107217,-2.297134871,0.3283414693
0.2967059728,2.925860835e-05,0.06080391265,2943.961733,947.4984568,727.536756,10.76239574,-2.352338771,0.3467826552
0.3054326191,2.964397752e-05,0.06160476938,2930.63317,955.6318618,735.946813,10.79859698,-2.406030514,0.3642088017
0.3141592654,3.003999399e-05,0.06242775284,2916.502762,963.7289798,744.3393795,10.82965868,-2.45818748,0.3807113146
0.3228859116,3.044661356e-05,0.06327277119,2901.612144,971.7869002,752.7108507,10.85556605,-2.508790963,0.3963722609
0.3316125579,3.086379091e-05,0.06413973023,2886.002427,979.80273,761.0576258,10.87630676,-2.557825978,0.4112655612
0.3403392041,3.129147955e-05,0.06502853336,2869.714073,987.7735915,769.3761066,10.89187093,-2.605281072,0.4254580028
0.3490658504,3.172963185e-05,0.0659390816,2852.786787,995.6966194,777.6626964,10.90225117,-2.651148121,0.4390101042
0.3577924967,3.217819905e-05,0.06687127361,2835.259414,1003.56896,785.9137995,10.90744252,-2.695422131,0.4519768555
0.3665191429,3.263713127e-05,0.06782500574,2817.169857,1011.387767,794.1258198,10.90744252,-2.738101045,0.4644083559
0.3752457892,3.310637751e-05,0.06880017198,2798.555007,1019.150204,802.2951613,10.90225117,-2.779185535,0.4763503641
0.3839724354,3.358588565e-05,0.06979666405,2779.450679,1026.853439,810.4182269,10.89187093,-2.818678819,0.4878447757
0.3926990817,3.407560249e-05,0.07081437136,2759.891567,1034.494648,818.4914191,10.87630676,-2.856586463,0.4989300382
0.401425728,3.457547371e-05,0.07185318106,2739.911207,1042.071007,826.5111394,10.85556605,-2.892916201,0.509641514
0.4101523742,3.508544393e-05,0.07291297803,2719.541944,1049.5797,834.4737892,10.82965868,-2.927677751,0.5200117974
0.4188790205,3.560545668e-05,0.07399364494,2698.814918,1057.017914,842.3757701,10.79859698,-2.960882652,0.5300709944
0.4276056667,3.613545444e-05,0.07509506224,2677.760048,1064.382838,850.2134845,10.76239574,-2.992544091,0.5398469678
0.436332313,3.667537862e-05,0.07621710818,2656.406029,1071.671666,857.9833361,10.72107217,-3.022676748,0.5493655554
0.4450589593,3.722516959e-05,0.07735965883,2634.780337,1078.881593,865.6817315,10.67464596,-3.051296649,0.5586507619
0.4537856055,3.778476667e-05,0.07852258812,2612.909232,1086.009822,873.3050809,10.62313919,-3.078421025,0.5677249307
0.4625122518,3.835410819e-05,0.07970576783,2590.817775,1093.053558,880.849799,10.56657639,-3.104068173,0.576608896
0.471238898,3.893313141e-05,0.08090906762,2568.529845,1100.01001,888.3123072,10.50498446,-3.128257339,0.5853221193
0.4799655443,3.952177262e-05,0.08213235509,2546.068158,1106.876395,895.6890344,10.43839274,-3.151008594,0.5938828111
0.4886921906,4.01199671e-05,0.08337549572,2523.454295,1113.649936,902.9764185,10.3668329,-3.172342731,0.6023080408
0.4974188368,4.072764915e-05,0.08463835299,2500.708727,1120.327864,910.1709087,10.29033901,-3.192281156,0.6106138347
0.5061454831,4.134475208e-05,0.08592078831,2477.850847,1126.907419,917.2689665,10.20894748,-3.210845801,0.618815265
0.5148721293,4.197120825e-05,0.08722266111,2454.899,1133.385849,924.2670682,10.12269704,-3.228059034,0.62692653
0.5235987756,4.260694906e-05,0.08854382882,2431.870516,1139.760415,931.1617062,10.03162875,-3.243943577,0.6349610263
0.5323254219,4.325190496e-05,0.08988414692,2408.781748,1146.028392,937.9493914,9.935785941,-3.258522438,0.6429314152
0.5410520681,4.390600549e-05,0.09124346895,2385.648102,1152.187065,944.6266549,9.835214239,-3.271818837,0.6508496822
0.5497787144,4.456917923e-05,0.09262164654,2362.484077,1158.233739,951.1900503,9.729961508,-3.283856151,0.6587271914
0.5585053606,4.524135389e-05,0.09401852942,2339.303298,1164.165732,957.6361557,9.620077842,-3.294657855,0.6665747355
0.5672320069,4.592245626e-05,0.09543396547,2316.118554,1169.980383,963.9615756,9.50561554,-3.304247474,0.674402581
0.5759586532,4.661241225e-05,0.09686780072,2292.941833,1175.67505,970.1629437,9.38662908,-3.312648534,0.68222051
0.5846852994,4.73111469e-05,0.09831987938,2269.784358,1181.247113,976.2369243,9.263175093,-3.319884529,0.6900378584
0.5934119457,4.801858439e-05,0.09979004388,2246.656621,1186.693976,982.1802148,9.135312336,-3.325978874,0.6978635508
0.6021385919,4.873464805e-05,0.1012781349,2223.568419,1192.013067,987.9895483,9.003101666,-3.330954884,0.7057061332
0.6108652382,4.945926035e-05,0.1027839913,2200.528886,1197.201842,993.6616951,8.866606006,-3.334835738,0.7135738024
0.6195918845,5.019234297e-05,0.1043074504,2177.546526,1202.257783,999.1934653,8.725890323,-3.337644458,0.7214744341
0.6283185307,5.093381676e-05,0.1058483475,2154.629248,1207.178404,1004.581711,8.581021588,-3.339403885,0.729415608
0.637045177,5.168360177e-05,0.1074065167,2131.784393,1211.961252,1009.823329,8.432068751,-3.340136661,0.7374046318
0.6457718232,5.244161727e-05,0.1089817902,2109.018765,1216.603904,1014.915261,8.279102707,-3.339865215,0.7454485632
0.6544984695,5.320778175e-05,0.1105739984,2086.338662,1221.103974,1019.854498,8.122196258,-3.338611746,0.7535542302
0.6632251158,5.398201295e-05,0.1121829706,2063.749903,1225.459114,1024.638083,7.961424083,-3.336398212,0.7617282506
0.671951762,5.476422785e-05,0.1138085341,2041.257854,1229.667013,1029.263109,7.796862702,-3.333246324,0.7699770496
0.6806784083,5.55543427e-05,0.115450515,2018.867455,1233.725399,1033.726725,7.628590437,-3.329177535,0.7783068768
0.6894050545,5.635227304e-05,0.1171087376,1996.583243,1237.632045,1038.026138,7.456687375,-3.324213036,0.786723822
0.6981317008,5.71579337e-05,0.118783025,1974.409378,1241.384763,1042.158612,7.281235334,-3.318373749,0.7952338297
0.7068583471,5.79712388e-05,0.1204731988,1952.349664,1244.981415,1046.121474,7.10231782,-3.311680329,0.8038427134
0.7155849933,5.87921018e-05,0.122179079,1930.407573,1248.419904,1049.912112,6.920019987,-3.304153157,0.8125561686
0.7243116396,5.962043549e-05,0.1239004845,1908.586261,1251.698185,1053.527978,6.734428599,-3.295812339,0.8213797856
0.7330382858,6.0456152e-05,0.1256372327,1886.888593,1254.81426,1056.966595,6.545631988,-3.286677712,0.8303190608
0.7417649321,6.129916283e-05,0.1273891396,1865.317158,1257.766183,1060.225549,6.353720011,-3.276768839,0.8393794087
0.7504915784,6.214937887e-05,0.12915602,1843.874288,1260.552059,1063.3025,6.158784007,-3.266105011,0.8485661715
0.7592182246,6.300671037e-05,0.1309376874,1822.562074,1263.170048,1066.195179,5.960916755,-3.254705254,0.8578846321
