configuration_id,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
C06,5,31000005,8,3298.109379136841,-19.455578037651833,37.01028948503321,10171.998572929804,0.47418217834476845,False
C06,5,31000005,9,3572.883180956016,-21.530970897043844,36.82408110504473,10964.011669531212,0.45723327165106326,False
C06,5,31000005,10,3627.9563358426026,-17.952341493018224,36.35133149445626,10990.086950968944,0.47267771188615976,False
C06,5,31000005,11,4337.359532006564,-35.641557728115615,36.22076709148999,13091.874116738647,0.42284572579275426,False
C06,5,31000005,12,4691.110723829332,-35.98317312834719,36.03563276513662,14087.261942042336,0.40667586486150054,True
C06,5,31000005,13,4988.095301127716,-41.02749644284371,35.61461840661864,14804.09256045926,0.41279196046357636,False
C06,5,31000005,14,5017.388198908114,-40.89163091615907,35.61408143388279,14890.80599177634,0.4108563525901329,False
C06,5,31000005,15,5669.094540042039,-44.442827707062534,35.087286291053765,16576.095261458733,0.409685314129865,False
C06,5,31000005,16,5972.051161857626,-43.351704259467425,34.89078489400126,17364.12937202873,0.4094548461910156,False
C06,5,31000005,17,5987.536943708744,-44.54633252672804,34.861006172007016,17394.296862479216,0.41115058268850907,False
C06,5,31000005,18,6254.31271068842,-41.02749644284371,34.53040189259517,17996.994288503123,0.42663096350111784,False
C06,5,31000005,19,6543.089824935242,-45.344623722305826,34.32183926573951,18714.23977272692,0.432826348149317,False
C06,5,31000005,20,6621.925263600312,-44.51064782424854,34.208209784313865,18877.017382773945,0.4399525471960281,False
C06,5,31000005,21,7177.997050313486,-45.344623722305826,33.50859927678114,20043.718897405965,0.485934321396183,False
C06,5,31000005,22,7509.217157045369,-58.81109879625451,33.2275123768981,20792.717168878382,0.5038264840623043,False
C06,5,31000005,23,7531.231946348218,-58.55839149688832,33.2263493154572,20852.945285424707,0.5034291976485941,False
C06,5,31000005,24,7689.0041029760005,-58.55839149688832,33.11523578400037,21218.598651183038,0.5104673081341211,False
C06,5,31000005,25,7700.579521095159,-58.55839149688832,33.10650294958037,21244.938219051262,0.511052667837953,False
C06,5,31000005,26,7855.694145725855,-58.069640320699044,32.993045664748706,21598.606306519352,0.518739644633678,False
C06,5,31000005,27,8148.838043141962,-60.00352746519832,32.695999861733874,22202.86729432178,0.541964870265202,False
C06,5,31000005,28,8258.688219193631,-60.73183334635599,32.58428845795679,22425.289934877896,0.5509750320835781,False
C06,5,31000005,29,8391.836558557225,-58.97046456962923,32.46066206002452,22700.38088252377,0.5609561939249449,False
C06,5,31000005,30,8440.896364927356,-59.75920316144324,32.412751164059465,22799.389456500372,0.5649039540415487,False
C06,5,31000005,31,8620.047389084073,-61.72158443156272,32.22879241962326,23151.14316250884,0.5803699146544479,False
C06,5,31000005,32,8717.350539401481,-61.74596580768071,32.12876386815397,23339.808086362904,0.5889016379241138,False
C06,5,31000005,33,8943.514868387063,-61.74596580768071,31.881227842361007,23760.85293588261,0.610447336955828,False
C06,5,31000005,34,9031.094554240368,-62.917008887499186,31.798929323875093,23931.594787293558,0.6176124758064666,False
C06,5,31000005,35,9213.285386017402,-66.47414088613223,31.615216497596556,24273.334344423547,0.6338638597334646,False
C06,5,31000005,36,9242.9754952772,-65.82464133553088,31.588388719793727,24330.89190602868,0.6362397735411107,False
C06,6,31000006,1,2436.3282043302142,-19.59591843077122,37.69909176528973,7653.9467121173575,0.5337493858371385,False
C06,6,31000006,2,3229.696228554439,-20.624646223776352,37.16602781946871,10002.914989907289,0.47517257759280357,False
C06,6,31000006,3,3763.9407493437334,-28.69284832218338,36.81919703554824,11548.773006684669,0.4411885761006335,False
C06,6,31000006,4,4210.353772217159,-30.758087106981975,36.48114981379507,12799.878894444282,0.419377568952132,False
C06,6,31000006,5,4472.031786040013,-37.55720189131881,36.03618533549785,13429.58052233128,0.4229512612290081,False
C06,6,31000006,6,4859.565253427268,-35.512438425545255,35.92305060590374,14547.534043463264,0.4013973936236849,False
C06,6,31000006,7,5242.654912754313,-37.05388814841824,35.576629775685376,15542.999406061524,0.3985744261690299,True
C06,6,31000006,8,5360.91122920302,-43.040422859041925,35.326724917349445,15781.953025032064,0.40933988070740646,False
C06,6,31000006,9,5742.100322793763,-42.63503698622614,35.09888190208174,16795.10842497031,0.4046944575183067,False
C06,6,31000006,10,5744.92039398812,-42.815871956365484,35.09297753749127,16800.53019507505,0.4050107757787249,False
C06,6,31000006,11,5855.509416721188,-43.46510037657312,34.990434693457644,17073.90165355908,0.4073055415791821,False
C06,6,31000006,12,6194.571644962492,-43.204793565492054,34.66832718235586,17896.286378508667,0.41743905774006723,False
C06,6,31000006,13,6242.788354599253,-42.815871956365484,34.60739345797273,18003.88607187221,0.4204778000744358,False
C06,6,31000006,14,6531.944763607803,-48.205369869195536,34.33402965508739,18688.99876825859,0.43218171327021265,False
C06,6,31000006,15,6567.700662004164,-50.15661585646835,34.25296496173223,18746.935054564517,0.438020073784279,False
C06,6,31000006,16,6727.219612070367,-43.204793565492054,34.01200863138792,19067.18762591495,0.4538254318019394,False
C06,6,31000006,17,6968.713300551637,-51.04662091967003,33.90341099625259,19688.59592863784,0.4555979613386154,False
C06,6,31000006,18,7142.436434690435,-52.88179898702789,33.71889480100816,20069.58856368455,0.4673727397302412,False
C06,6,31000006,19,7316.664850922174,-54.45715018459417,33.53596965044676,20447.62086525139,0.47961852207108147,False
C06,6,31000006,20,7351.490377559095,-52.88179898702789,33.52523043130763,20538.36741010078,0.47971709778661153,False
C06,6,31000006,21,7453.444683038173,-51.04662091967003,33.39750655306363,20743.872303722055,0.4891550087656675,False
C06,6,31000006,22,7535.7503894245465,-54.4574553035671,33.33691323617357,20934.888075142277,0.49291141095963553,False
C06,6,31000006,23,7701.845238034798,-51.25203655521989,33.10002835859328,21244.274649370705,0.5116383895733323,False
C06,6,31000006,24,7806.75336335945,-51.201129429322606,32.96194161888618,21443.812383008124,0.5226099963730056,False
C06,6,31000006,25,7975.602666888166,-57.77741314177003,32.88670724927144,21857.60917020497,0.5266689223001971,False
C06,6,31000006,26,8179.709733499848,-58.791829667732685,32.68041652269103,22276.360093790423,0.5429833654479809,False
C06,6,31000006,27,8303.298403670624,-61.06338136095358,32.5382588082819,22514.572701752393,0.5547353233828325,False
