algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
NSGA-II,NSGA-II,DEAP,16,20260734,4848,48,48,48,False,0.8461325291197722,0.846132529119772,21.44103840000025,0.4000159026574437,35.31176276866993,16078.500239704155,5463.958402202342,-40.11089327934917,11.999961548828306,4.399268814067476,False
NSGA-II,NSGA-II,DEAP,17,20260735,4848,48,47,47,False,0.8460435272359561,0.8460435272359563,23.854394400001183,0.399349185684941,35.673953415256776,15085.16136630443,5074.344698735717,-37.39042655858154,11.999995091457397,4.390196005122564,False
NSGA-II,NSGA-II,DEAP,18,20260736,4848,48,45,45,False,0.8457801387555741,0.8457801387555741,21.926493899998604,0.398882948592128,35.415259043988186,15815.471251876756,5358.866775103755,-38.4379159537703,11.999687708940272,4.3906632600590765,False
NSGA-II,NSGA-II,DEAP,19,20260737,4848,48,47,47,False,0.8460706997981989,0.8460706997981989,24.43763189999663,0.39973425223412706,35.66238791594484,15097.605865550027,5080.177771988108,-37.84537590126003,11.999722573128585,4.39946730622905,False
NSGA-II,NSGA-II,DEAP,20,20260738,4848,48,48,48,False,0.8456975296809716,0.8456975296809717,21.92701329999909,0.40128133845413105,35.641637719845505,15082.57350338361,5078.074230574045,-38.18003285341744,11.999967661034988,4.2512667842349074,False
NSGA-II,NSGA-II,DEAP,21,20260739,4848,48,44,44,False,0.8457973928956558,0.845797392895656,21.655727000001207,0.3990260547057861,35.53382373226397,15469.512784891314,5224.153606923643,-38.616035535437376,11.999748684440156,4.399889073216849,False
NSGA-III,NSGA-III,DEAP,1,20270719,4848,48,48,48,False,0.8458383316869527,0.8458383316869523,27.60735769999883,0.3991341312462237,35.463736038547125,15661.99594615531,5299.6094700676485,-37.45478683745219,11.999977126813327,4.345766343577882,False
NSGA-III,NSGA-III,DEAP,2,20270720,4848,48,48,48,False,0.845329253379716,0.8453292533797159,25.079726500000103,0.39872945474108384,35.525039407460866,15507.292440023051,5238.206976941314,-37.86688224610478,11.995419678504064,4.397095800732144,False
NSGA-III,NSGA-III,DEAP,3,20270721,4848,48,48,48,False,0.8456013923172494,0.8456013923172494,25.485598000002938,0.3988086870264715,35.51367487264096,15535.32936584056,5249.356847992773,-38.485384635931325,11.9987058017951,4.399989031915871,False
NSGA-III,NSGA-III,DEAP,4,20270722,4848,48,48,48,False,0.8455612801091548,0.8455612801091549,23.968057399997637,0.3987836505624173,35.612614795443015,15268.247638111106,5144.777284951791,-36.98442434685789,11.99997269451202,4.364307019163836,False
NSGA-III,NSGA-III,DEAP,5,20270723,4848,48,44,44,False,0.8447340244340411,0.844734024434041,23.529344099999435,0.39860295800878304,35.59987346215473,15309.946009266469,5160.674301455164,-37.5513575208394,11.999978223636989,4.399996638259795,False
NSGA-III,NSGA-III,DEAP,6,20270724,4848,48,48,48,False,0.8452940921092266,0.8452940921092266,27.755297200001223,0.39856125147293414,35.52212607834837,15523.049676559807,5243.959657928751,-38.12285768841461,11.999395775047905,4.399864628830105,False
NSGA-III,NSGA-III,DEAP,7,20270725,4848,48,45,45,False,0.8453874070255138,0.8453874070255136,28.613468299998203,0.39954394409076355,35.36769993263633,15927.46017348595,5404.069884269246,-39.7354282695344,11.99993491428892,4.399332542973435,False
NSGA-III,NSGA-III,DEAP,8,20270726,4848,48,47,47,False,0.8446632121761889,0.8446632121761888,23.24480949999997,0.399627748873707,35.75846187866201,14864.945464790122,4988.451298122669,-35.472603895305056,11.999658763548393,4.399661908862995,False
