algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
NSGA-II,DEAP,1,20260719,40,8488.678613360025,-64.60546474330559,11.999999478561886,4.39836363253341,32.18960188455428,22770.598757499123,0.576872493125409,False
NSGA-II,DEAP,1,20260719,41,8635.553261045985,-62.865724100874296,11.99997762482754,4.353326918702127,32.098256043441445,23098.84997081915,0.5838452171998222,False
NSGA-II,DEAP,1,20260719,42,8905.48658503156,-62.865724100874296,11.999993353649678,4.3964961366086115,31.833243099574343,23624.209948442316,0.6062186600137972,False
NSGA-II,DEAP,1,20260719,43,8964.584114617195,-62.865724100874296,11.999985942165509,4.3571044824964575,31.76173167402711,23727.559601476434,0.6124474097026501,False
NSGA-II,DEAP,1,20260719,44,9154.143496227214,-62.865724100874296,11.999993353649678,4.3964961366086115,31.555195992042606,24071.73268022765,0.6304581769657067,False
NSGA-II,DEAP,1,20260719,45,9341.423126113086,-62.865724100874296,11.991184549753836,4.373542582749472,31.320489329327337,24381.495278513048,0.6513036190690993,False
NSGA-II,DEAP,1,20260719,46,9503.119138997432,-69.29784667455294,11.999986136440716,4.372880990533385,31.19591629013535,24704.87576294559,0.6622347899926012,False
NSGA-II,DEAP,1,20260719,47,9856.27230107413,-69.97550360339,11.99996260787014,4.399277343200513,30.84801352175292,25337.201768134462,0.6935731629802744,False
NSGA-II,DEAP,1,20260719,48,9999.91644942805,-70.72656297330278,11.999999585045177,4.399026204405531,30.699262657930486,25582.505136529282,0.7071347777693588,False
NSGA-III,DEAP,1,20270719,1,598.1292686942319,-4.507640937026949,11.999923448505543,4.330872987334908,38.419197939465484,1914.9705639459528,0.6978658978883142,False
NSGA-III,DEAP,1,20270719,2,599.928436897406,-6.0025611979216364,11.999938587918216,4.32115713921598,38.38640886649852,1919.0915224485984,0.697756601005908,False
NSGA-III,DEAP,1,20270719,3,1265.5007407018027,-10.758888248123682,11.999997870378088,4.365962158898425,38.22848024310097,4031.514171962375,0.635734544744543,False
NSGA-III,DEAP,1,20270719,4,1394.7123283662745,-6.974162790723085,11.997859782986374,4.269870342622499,38.096760159549056,4427.835088778015,0.6245323956419465,False
