configuration_id,run,seed,generation,evaluations,hypervolume
C02,2,31000002,12,312,0.8408135681236755
C02,2,31000002,13,336,0.8410361261527618
C02,2,31000002,14,360,0.8409479959017029
C02,2,31000002,15,384,0.8410042989801896
C02,2,31000002,16,408,0.8410020367803658
C02,2,31000002,17,432,0.8411868839409763
C02,2,31000002,18,456,0.841143338531029
C02,2,31000002,19,480,0.8417614511018412
C02,2,31000002,20,504,0.8439343715282615
C02,3,31000003,0,24,0.7350097210926334
C02,3,31000003,1,48,0.7391576893698236
C02,3,31000003,2,72,0.748859687949128
C02,3,31000003,3,96,0.7580117191834764
C02,3,31000003,4,120,0.7584875581080938
C02,3,31000003,5,144,0.7611433557801817
C02,3,31000003,6,168,0.7792023435148393
C02,3,31000003,7,192,0.779653238356944
C02,3,31000003,8,216,0.7836078481751884
C02,3,31000003,9,240,0.7884564731414391
C02,3,31000003,10,264,0.7887648807768317
C02,3,31000003,11,288,0.8092598328182229
C02,3,31000003,12,312,0.8092900456465695
C02,3,31000003,13,336,0.8098280452514091
C02,3,31000003,14,360,0.816895435906937
C02,3,31000003,15,384,0.8177265623625272
C02,3,31000003,16,408,0.8173842341620411
C02,3,31000003,17,432,0.8179505366442312
C02,3,31000003,18,456,0.8363835153651924
C02,3,31000003,19,480,0.8364166498814178
C02,3,31000003,20,504,0.8363031602832502
C02,4,31000004,0,24,0.7431699935505655
C02,4,31000004,1,48,0.7449613665329968
C02,4,31000004,2,72,0.7507684928464168
C02,4,31000004,3,96,0.7754487092282715
C02,4,31000004,4,120,0.7786786896562953
C02,4,31000004,5,144,0.7866655716662238
C02,4,31000004,6,168,0.7927986191934003
C02,4,31000004,7,192,0.7933274274835231
C02,4,31000004,8,216,0.7990160612003768
C02,4,31000004,9,240,0.7992474197487772
C02,4,31000004,10,264,0.8000102908368452
C02,4,31000004,11,288,0.8340853678504788
C02,4,31000004,12,312,0.8345847277655828
C02,4,31000004,13,336,0.8341956780584502
C02,4,31000004,14,360,0.8344939990267791
C02,4,31000004,15,384,0.8345084522440782
C02,4,31000004,16,408,0.8351851982215505
C02,4,31000004,17,432,0.8363930194101739
C02,4,31000004,18,456,0.836921258718108
C02,4,31000004,19,480,0.8360992446355946
C02,4,31000004,20,504,0.836251639315261
C02,5,31000005,0,24,0.7435870283308851
C02,5,31000005,1,48,0.7447967263241169
C02,5,31000005,2,72,0.7909823406384958
C02,5,31000005,3,96,0.8004337884822483
C02,5,31000005,4,120,0.8217200767639424
C02,5,31000005,5,144,0.8224276411940042
C02,5,31000005,6,168,0.82338855219176
C02,5,31000005,7,192,0.8243657021283536
C02,5,31000005,8,216,0.8272593947271746
C02,5,31000005,9,240,0.82739700524053
C02,5,31000005,10,264,0.8298428154473316
C02,5,31000005,11,288,0.8297760546232507
C02,5,31000005,12,312,0.8310172062175778
C02,5,31000005,13,336,0.8374952228593361
C02,5,31000005,14,360,0.8369642412725659
C02,5,31000005,15,384,0.8403868137702388
C02,5,31000005,16,408,0.8404074657689359
C02,5,31000005,17,432,0.8415190271477531
C02,5,31000005,18,456,0.8423603474444952
C02,5,31000005,19,480,0.8424063629203274
C02,5,31000005,20,504,0.8432210398989576
C02,6,31000006,0,24,0.6641783164396994
C02,6,31000006,1,48,0.6732501314434329
C02,6,31000006,2,72,0.7682234689803681
C02,6,31000006,3,96,0.7744677854755653
C02,6,31000006,4,120,0.7913593381777734
C02,6,31000006,5,144,0.7957014452926825
C02,6,31000006,6,168,0.7957535574599065
C02,6,31000006,7,192,0.8135641022589271
C02,6,31000006,8,216,0.8150265302296469
C02,6,31000006,9,240,0.817218330662706
C02,6,31000006,10,264,0.8196026714645754
C02,6,31000006,11,288,0.8196984495348387
C02,6,31000006,12,312,0.8191965833262231
C02,6,31000006,13,336,0.819193158524809
C02,6,31000006,14,360,0.8233334892756096
C02,6,31000006,15,384,0.8307910556856348
C02,6,31000006,16,408,0.8307231603742232
C02,6,31000006,17,432,0.8312315246100777
C02,6,31000006,18,456,0.831567034804306
C02,6,31000006,19,480,0.8352844439060896
C02,6,31000006,20,504,0.8353614129684591
C02,7,31000007,0,24,0.7886499344598019
C02,7,31000007,1,48,0.7907115962991557
C02,7,31000007,2,72,0.8011043301675187
C02,7,31000007,3,96,0.8099689224042426
C02,7,31000007,4,120,0.811183574804205
C02,7,31000007,5,144,0.8121844251146908
C02,7,31000007,6,168,0.8126627366786487
C02,7,31000007,7,192,0.8194407169596508
C02,7,31000007,8,216,0.8373921711100297
C02,7,31000007,9,240,0.8373964377494459
C02,7,31000007,10,264,0.8386760391742628
C02,7,31000007,11,288,0.8420267777066945
C02,7,31000007,12,312,0.8432390272286246
C02,7,31000007,13,336,0.843314553433826
C02,7,31000007,14,360,0.8431445055304038
C02,7,31000007,15,384,0.8435916571592006
C02,7,31000007,16,408,0.8437710436985857
C02,7,31000007,17,432,0.843848827661261
C02,7,31000007,18,456,0.8437730230728157
C02,7,31000007,19,480,0.8439387996747577
C02,7,31000007,20,504,0.8443215028706758
C03,1,31000001,0,56,0.7989439704456074
C03,1,31000001,1,112,0.8131003827103948
C03,1,31000001,2,168,0.8185173439432767
C03,1,31000001,3,224,0.8413980011664234
C03,1,31000001,4,280,0.8450187844106356
C03,1,31000001,5,336,0.8469946355865168
C03,1,31000001,6,392,0.8474026793156527
C03,1,31000001,7,448,0.8476994993898822
C03,1,31000001,8,504,0.8479534662044073
C03,2,31000002,0,56,0.797147903041921
C03,2,31000002,1,112,0.8138556640414499
C03,2,31000002,2,168,0.8222904374568903
C03,2,31000002,3,224,0.828491928337903
C03,2,31000002,4,280,0.8292644268446567
C03,2,31000002,5,336,0.8302346839962508
C03,2,31000002,6,392,0.8348464080183499
C03,2,31000002,7,448,0.8374296236934339
C03,2,31000002,8,504,0.8377675765722694
C03,3,31000003,0,56,0.7986676676132574
C03,3,31000003,1,112,0.8188094548358531
C03,3,31000003,2,168,0.830337568503028
C03,3,31000003,3,224,0.841028873289308
C03,3,31000003,4,280,0.843696832446211
C03,3,31000003,5,336,0.8444594441753358
C03,3,31000003,6,392,0.8438503151627857
C03,3,31000003,7,448,0.8463934108327763
C03,3,31000003,8,504,0.8462973174365372
C03,4,31000004,0,56,0.7903036538122188
C03,4,31000004,1,112,0.7986672738960457
C03,4,31000004,2,168,0.8061303100862705
C03,4,31000004,3,224,0.827222741363284
C03,4,31000004,4,280,0.8342310124914522
C03,4,31000004,5,336,0.8348383312044998
C03,4,31000004,6,392,0.8348028078542512
C03,4,31000004,7,448,0.8370115319957148
C03,4,31000004,8,504,0.8445824298965764
C03,5,31000005,0,56,0.7963870156161539
C03,5,31000005,1,112,0.7965343764159951
C03,5,31000005,2,168,0.8020516440824588
C03,5,31000005,3,224,0.8386382429349701
C03,5,31000005,4,280,0.8401419002129592
C03,5,31000005,5,336,0.8419336608248607
C03,5,31000005,6,392,0.8474595085038803
C03,5,31000005,7,448,0.8480411544896782
C03,5,31000005,8,504,0.8480125379745191
C03,6,31000006,0,56,0.7564550251268136
C03,6,31000006,1,112,0.7796064707602673
C03,6,31000006,2,168,0.8113261398290436
C03,6,31000006,3,224,0.812320775985337
C03,6,31000006,4,280,0.8292781565544997
C03,6,31000006,5,336,0.8459854977154037
C03,6,31000006,6,392,0.8474454268303433
C03,6,31000006,7,448,0.8474778254475042
C03,6,31000006,8,504,0.8478972502373492
C03,7,31000007,0,56,0.7894437059664413
C03,7,31000007,1,112,0.7964303606134664
C03,7,31000007,2,168,0.8037986150842196
C03,7,31000007,3,224,0.8097610125905815
C03,7,31000007,4,280,0.8115107667182905
C03,7,31000007,5,336,0.8275298681838322
C03,7,31000007,6,392,0.8352483414649614
C03,7,31000007,7,448,0.8407547482538023
C03,7,31000007,8,504,0.8409356393101101
C04,1,31000001,0,24,0.7862427035318713
C04,1,31000001,1,48,0.8006646177106395
C04,1,31000001,2,72,0.8043111327909825
C04,1,31000001,3,96,0.8135375259809644
C04,1,31000001,4,120,0.8212747902794904
C04,1,31000001,5,144,0.8230632352657233
C04,1,31000001,6,168,0.8233157406500967
C04,1,31000001,7,192,0.823529707457058
C04,1,31000001,8,216,0.8319563722076467
C04,1,31000001,9,240,0.8381802271599073
C04,1,31000001,10,264,0.838698164537721
C04,1,31000001,11,288,0.8392095073285497
C04,1,31000001,12,312,0.839805689513895
C04,1,31000001,13,336,0.8402332426457253
C04,1,31000001,14,360,0.8403903395223283
C04,1,31000001,15,384,0.840461689975284
C04,1,31000001,16,408,0.842780057807225
C04,1,31000001,17,432,0.8428685615699549
C04,1,31000001,18,456,0.843290361637907
C04,1,31000001,19,480,0.8435110490833276
C04,1,31000001,20,504,0.8432821842420088
C04,2,31000002,0,24,0.7779482402068961
