configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,stage,is_baseline,is_confirmed,run,seed,evaluations,front_size,hypervolume,igd_plus,spacing,runtime_seconds,maximum_efficiency_percent,maximum_power_kw_per_kg,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_efficiency_percent,compromise_power_kw_per_kg,compromise_score
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,4,31000004,504,35,0.8462713465462774,0.004453593624365272,0.01602009146368883,8.979431200772524,38.30673469280824,25621.721055863844,5334.4801381628085,-38.612276585713914,35.49412520899374,15778.55882907008,0.39863056967730015
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,5,31000005,504,36,0.8083152419614693,0.007762780284596961,0.00918979857714646,9.421337600797415,38.19252901285045,24330.89190602868,4691.110723829332,-35.98317312834719,36.03563276513662,14087.261942042336,0.40667586486150054
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,6,31000006,504,35,0.823770302946313,0.0060257108329005845,0.01881440426984793,8.989782098680735,37.69909176528973,24921.187227983723,5242.654912754313,-37.05388814841824,35.576629775685376,15542.999406061524,0.3985744261690299
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,7,31000007,504,35,0.8216337808887539,0.00692450261207187,0.02099030743017606,8.533573200926185,38.12000881687656,24812.953074084653,5098.588672866858,-38.78642028122454,35.67757681568708,15158.774085649951,0.4010372729399207
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,1,31000001,504,36,0.8364661356165976,0.006952663084332281,0.010623912822160672,9.629727099090815,36.584587345637935,25675.264258372154,5303.4436799710575,-40.25756525075505,35.49050924452385,15685.159745985367,0.4008641881578681
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,2,31000002,504,36,0.8471227262851404,0.003883513743392522,0.01930829877845969,9.653120199218392,38.3844542820243,25644.203197917683,4774.686902760244,-31.94835922944351,35.956667112593365,14306.818960784129,0.4054002975434868
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,3,31000003,504,36,0.8463476048351694,0.0037790199340099776,0.01175301049063246,9.130735399201512,38.27193422381202,25602.231739403873,5160.772291835561,-38.535085163222874,35.63916433293739,15327.134316133124,0.3995432079510172
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,4,31000004,504,36,0.8460206154051935,0.0037373324137369287,0.025001327848682465,10.066363200545311,38.12786049883598,25630.465835351566,5440.552692469109,-39.455368477681645,35.395261248456976,16047.48199049501,0.39932680894403283
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,5,31000005,504,36,0.8478872828433048,0.00368495760217767,0.011236117198583022,9.106595600023866,38.229645343042264,25660.830179529883,5199.054890024076,-38.44299559703268,35.610863441461476,15428.569476109153,0.3989992063108313
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,6,31000006,504,36,0.8420618407194633,0.00423704748041848,0.011577287581942503,9.425032699480653,38.03544663866643,25481.719274633822,5531.10295140454,-41.84844052361555,35.2804311101562,16261.641386684127,0.4025690630012328
C07,36,13,1.0,30.0,40.0,1.0,35,504,screening,False,False,7,31000007,504,36,0.8472162751149194,0.0038078737302233265,0.02244658387715703,9.01351309940219,38.12375050602089,25659.246881728937,4769.7757336537115,-33.98614690922062,36.00398975158601,14310.913052652657,0.4028283538830019
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,1,31000001,504,23,0.8378394578243141,0.008145327917464097,0.011930129831917055,9.533704800531268,36.99562513791401,25669.595577985478,5456.117112909004,-38.88988027787741,35.381208649493,16087.001498991902,0.3994286273963444
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,2,31000002,504,24,0.8404750048682588,0.0068413311193291915,0.04254262807464972,9.217786699533463,38.43109574799527,25631.64597630175,5481.486505446872,-40.410160563435525,35.35049759114422,16147.772958890768,0.40020301943235254
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,3,31000003,504,23,0.8284795346381961,0.007626486759626819,0.026766933320883386,9.665271900594234,37.49135100579357,25192.282463744723,4813.654079632497,-34.507477875937624,35.96598689321605,14427.318294711531,0.4019965895894958
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,4,31000004,504,23,0.8171155638696548,0.014628821869794915,0.02459030871997392,8.29990530014038,38.33673440942385,24829.918002942162,5134.793470748405,-38.81636698136086,35.65147983045937,15255.2488213301,0.4004146685596126
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,5,31000005,504,24,0.8149468984876496,0.00716081445450068,0.03567986517555424,8.770794101059437,38.08525593542378,24617.356068266196,6015.289946864431,-43.45523940900307,34.85021939650011,17469.514531815574,0.4106568151509313
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,6,31000006,504,23,0.8326088944914609,0.009900864280545124,0.0261876785559653,8.891618799418211,37.780175418533105,25373.918371797692,4585.5994678996585,-28.339414510515766,35.995972190291496,13755.259243527631,0.41685763713694934
C08,24,20,1.0,20.0,40.0,0.25,23,504,screening,False,False,7,31000007,504,22,0.8427892412335377,0.00584462536300237,0.04086944628030223,8.589847400784492,38.24835224466209,25578.56003880171,5427.506603866403,-40.15472657258252,35.39882279685835,16010.612041587103,0.39986187999192185
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,1,31000001,504,56,0.8449015713067466,0.0029958500290309066,0.011565749548132812,9.998800698667765,38.390889974683176,25552.94296337065,5422.857141107626,-39.302818046842745,35.411877392051125,16002.796016292683,0.39917351351637853
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,2,31000002,504,56,0.8483881189255895,0.002844454769604459,0.02246158844812083,8.928808100521564,38.349470255148084,25670.17886146173,5306.251583004514,-35.60452698775694,35.4761965654607,15687.13534870459,0.4017273314824595
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,3,31000003,504,56,0.847545370614933,0.002574911067601678,0.00678755330954219,9.045309700071812,38.17318231632109,25609.08703448443,5388.111614229226,-37.65676893534777,35.43748727916321,15911.761398996645,0.3994244225760596
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,4,31000004,504,56,0.8488402018959688,0.0031189298776956483,0.009778024840729054,8.5791817009449,38.41238753004295,25672.910048103757,5402.612657684016,-39.23957784892433,35.43025002778709,15951.326438752665,0.3990592092376615
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,5,31000005,504,56,0.8424109733453524,0.0025163738981531995,0.007259724954911107,8.340677000582218,38.406460685387074,25404.11865518663,5044.235521774637,-35.202864691199,35.751785356504094,15028.368805178357,0.39967394297395703
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,6,31000006,504,56,0.8491531932174283,0.0031431041435161958,0.008080735190455208,9.366152999922633,38.399450853631976,25654.22080474766,5040.944408493398,-37.023791427737876,35.7584595373276,15021.367221752416,0.3994499193110014
C09,56,8,1.0,30.0,10.0,1.0,55,504,screening,False,True,7,31000007,504,56,0.8463277459601956,0.0030291641550800213,0.01131886953986383,9.231062499806285,38.35089063949032,25568.93314508852,5141.467153476026,-38.33338616180974,35.658037237354975,15277.885601107138,0.39951425524652984
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,8,31000008,504,56,0.8490157776208305,0.0028510376196953604,0.01153884526386936,8.046986998990178,38.38011424345693,25655.234064115815,5122.993344279014,-36.015058107992616,35.68394423734515,15234.050735461895,0.3989585180871086
C09,56,8,1.0,30.0,10.0,1.0,55,504,confirmation,False,True,9,31000009,504,56,0.8480750864641622,0.0033852391422671203,0.010851092232720549,8.730271799489856,38.36632061544605,25637.125161030024,5222.299108060651,-38.00503005847261,35.59634230839877,15491.228890614377,0.39850105419068227
