algorithm,framework,run,seed,evaluations,front_size,hypervolume,runtime_seconds,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_compression_ratio,compromise_connecting_rod_to_crank_ratio,compromise_thermal_efficiency_percent,compromise_net_specific_power_kw_per_kg,compromise_score
NSGA-II,DEAP,3,20260721,4848,45,0.8459209963324594,25.929640300000756,5243.300101120824,-37.25290662149938,11.999965577543179,4.399720389896901,35.52342414137924,15521.664449387645,0.39851240066247917
NSGA-III,DEAP,3,20270721,4848,48,0.8456013923172494,25.485598000002938,5249.356847992773,-38.485384635931325,11.9987058017951,4.3999890319158705,35.51367487264096,15535.32936584056,0.3988086870264715
MOEA/D,pymoo,4,20290722,4848,48,0.8321602169829345,142.0487871999976,4850.818094782985,-35.588133399422645,11.999989013048681,4.342283545291771,35.87564980771509,14502.187604113507,0.4018094671938452
NSGA-II,DEAP,4,20260722,4848,47,0.846009335912078,22.358538899999985,5260.942620864503,-37.96149657897686,11.99915405121099,4.399781891339401,35.507344222284146,15566.841714393466,0.39850729418356445
NSGA-III,DEAP,4,20270722,4848,48,0.8455612801091548,23.968057399997633,5144.7772849517905,-36.98442434685789,11.99997269451202,4.364307019163836,35.612614795443015,15268.247638111106,0.3987836505624173
MOPSO,PySwarm + Pareto repository,4,20280722,4848,192,0.8447415694307382,23.172155000000203,5311.568643070884,-38.70829500929466,11.970231965303642,4.19382264900356,35.4120639971144,15674.467392791017,0.40209572911035785
NSGA-II,DEAP,5,20260723,4848,45,0.8458811716495779,21.757782699998643,5306.8070276904655,-40.26338351683685,11.999139821766864,4.3965903934600306,35.43136495825714,15668.95138009539,0.4010039295218102
NSGA-III,DEAP,5,20270723,4848,44,0.8447340244340411,23.529344099999435,5160.674301455164,-37.5513575208394,11.999978223636989,4.399996638259795,35.59987346215473,15309.946009266467,0.39860295800878304
MOPSO,PySwarm + Pareto repository,5,20280723,4848,192,0.8455989106342661,23.286960700002965,5030.622091943766,-36.085504149704576,11.983066604044941,4.2313561408650635,35.69047221057625,14962.10649786916,0.40122222212392117
MOEA/D,pymoo,5,20290723,4848,48,0.843696281311292,136.23009540000203,5245.339046203388,-38.00725042725665,11.99975228843999,4.394234119408685,35.52125718386253,15526.753106395561,0.39853306310364345
NSGA-III,DEAP,6,20270724,4848,48,0.8452940921092266,27.755297200001223,5243.959657928751,-38.12285768841461,11.999395775047903,4.399864628830105,35.52212607834837,15523.049676559807,0.39856125147293414
MOPSO,PySwarm + Pareto repository,6,20280724,4848,191,0.8457740483500624,26.81887519999873,4979.996969985632,-34.647761079831525,11.992376132142414,4.202100082542291,35.73168519079212,14828.640331885434,0.40197470118699224
MOEA/D,pymoo,6,20290724,4848,48,0.8413349412051834,143.48365390000254,5292.654709950498,-37.642583050662466,11.998982184314915,4.39903631695984,35.47669618600597,15647.158596862279,0.39865035892389855
NSGA-II,DEAP,6,20260724,4848,46,0.8461260069468828,26.578653299999132,5106.9722224495745,-36.730939937152385,11.999875990819199,4.3994117143691955,35.65097032246616,15172.37626168407,0.3986968787782003
MOPSO,PySwarm + Pareto repository,7,20280725,4848,192,0.8461316781585895,27.47336720000021,5103.458914313499,-35.932688638216234,11.996604734362299,4.219747400073679,35.62906561119559,15152.622708509723,0.40042499252416586
MOEA/D,pymoo,7,20290725,4848,48,0.8435307431997111,138.40883940000276,5404.230509200096,-38.43102254876949,11.999995894670601,4.32151071586311,35.36429004322607,15926.39793231696,0.3997850381418072
NSGA-II,DEAP,7,20260725,4848,46,0.8458573951925215,27.03135150000162,5310.986539391148,-39.02560875568604,11.999954133708371,4.374392232380851,35.453200254300256,15690.955777410623,0.39916570270252216
NSGA-III,DEAP,7,20270725,4848,45,0.8453874070255138,28.613468299998203,5404.069884269246,-39.735428269534395,11.99993491428892,4.399332542973435,35.36769993263633,15927.46017348595,0.39954394409076355
MOEA/D,pymoo,8,20290726,4848,48,0.8439419158839608,135.11226779999924,5091.727597325112,-36.011844702911105,11.999825984474894,4.399723651084482,35.66252827449621,15131.989950469955,0.3989424884432533
NSGA-II,DEAP,8,20260726,4848,44,0.8457616111391116,21.83363670000108,5105.7037259964145,-35.917733483017685,11.99994147811224,4.3820483429767725,35.64607091317355,15166.523089876884,0.39911566561696565
NSGA-III,DEAP,8,20270726,4848,47,0.8446632121761889,23.244809499999974,4988.451298122669,-35.472603895305056,11.999658763548391,4.399661908862995,35.75846187866201,14864.945464790122,0.399627748873707
MOPSO,PySwarm + Pareto repository,8,20280726,4848,192,0.8456305023351657,21.870566000001418,5207.585626521864,-37.0610299023421,11.975029518204177,4.214313102696194,35.51713344269392,15413.209467619321,0.40128061584132557
NSGA-II,DEAP,9,20260727,4848,45,0.8459673149785972,22.611779800001386,5417.011010535201,-39.814293276706536,11.999977908172106,4.398674293854029,35.35563019103464,15960.153169103785,0.3996339436437712
NSGA-III,DEAP,9,20270727,4848,45,0.8445146067095651,23.644532500002242,5015.311404746501,-36.05596550442772,11.999930970060126,4.301818646680939,35.725660097260594,14931.275877324,0.3999325514743446
MOPSO,PySwarm + Pareto repository,9,20280727,4848,192,0.8463785249903134,22.737017999999807,5225.879666477554,-38.19449170303838,11.999870514169878,4.289443385845703,35.52623777607462,15471.320301702921,0.3994474415426925
MOEA/D,pymoo,9,20290727,4848,48,0.8446616330411623,136.43005970000013,5093.647114774171,-36.493077832574045,11.999980836270094,4.391434047712172,35.662469394429934,15137.669528055021,0.3988165679396792
NSGA-III,DEAP,10,20270728,4848,48,0.8454939355234699,34.5222806999991,5059.140427895863,-36.03571981411892,11.999805785492752,4.399820997438518,35.69419853178916,15048.496902792976,0.39902326165752583
MOPSO,PySwarm + Pareto repository,10,20280728,4848,192,0.8460050934986414,27.470238099998824,5321.662148756985,-38.30609097823839,11.978211761575118,4.330302321444607,35.42636640516353,15710.59609719623,0.40042336142623713
MOEA/D,pymoo,10,20290728,4848,48,0.8393739879290337,141.96192469999733,5157.254934625249,-37.72528562856961,11.999999701057952,4.399212466975989,35.60133166906772,15300.42861912747,0.3987296542144037
