algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
MOPSO,PySwarm + Pareto repository,3,20280721,186,9572.255964804395,-68.22454211054952,11.958425703693935,4.009074359481059,31.02882967392459,24751.324993927028,0.6774482272545511,False,192,48,46,-0.7757207418481148,-0.9167157405158158,0.6774482272545511,False
MOPSO,PySwarm + Pareto repository,3,20280721,191,9864.331459158651,-70.49229601467871,11.974691267271009,4.4,30.8231646708074,25337.49274442275,0.6958447439106816,False,192,48,47,-0.770579116770185,-0.9384256572008426,0.6958447439106816,False
MOPSO,PySwarm + Pareto repository,3,20280721,192,10000.0,-70.0261888709441,11.977629481419363,4.387103339958856,30.67975241323362,25566.460344361352,0.7089186592344211,False,192,48,48,-0.7669938103308405,-0.9469059386800501,0.7089186592344211,False
MOPSO,PySwarm + Pareto repository,4,20280722,1,505.20692856423176,-2.577052937990075,11.977835674410612,3.778205206224062,38.3954916602062,1616.4723676971962,0.7066747163094941,False,192,48,1,-0.959887291505155,-0.05986934695174801,0.7066747163094941,False
MOPSO,PySwarm + Pareto repository,4,20280722,2,776.6689332863995,-7.061700599500924,11.98944575152016,3.962050921020941,38.350652211886185,2482.146678686945,0.6811836048828631,False,192,48,2,-0.9587663052971547,-0.09193135846988686,0.6811836048828631,False
MOPSO,PySwarm + Pareto repository,4,20280722,3,915.5261867733392,-4.686533108239871,11.988988786812255,3.808623423535712,38.29613319563224,2921.759399396757,0.668297548305122,False,192,48,3,-0.9574033298908059,-0.10821331108876878,0.668297548305122,False
MOPSO,PySwarm + Pareto repository,4,20280722,4,1330.940404466797,-8.609658616526403,11.986392879212245,3.901924264718247,38.20482373984032,4237.3619634071465,0.6297358945860031,False,192,48,4,-0.9551205934960081,-0.15693933197804247,0.6297358945860031,False
MOPSO,PySwarm + Pareto repository,4,20280722,6,1637.9560991937385,-10.988164052852923,11.972532274299098,3.9798406722625055,38.07851752763978,5197.578336054438,0.6019524902289497,False,192,48,5,-0.9519629381909945,-0.19250290133534956,0.6019524902289497,False
MOPSO,PySwarm + Pareto repository,4,20280722,10,1876.5567055032325,-13.259072840631546,11.972325008464914,3.825573862943557,37.975993598339336,5938.67545292596,0.5807342201577045,False,192,48,6,-0.9493998399584834,-0.21995094270096147,0.5807342201577045,False
MOPSO,PySwarm + Pareto repository,4,20280722,13,2000.794765624804,-15.539510666478904,11.97725583185111,3.75128723378751,37.90661804228304,6320.280246794888,0.5700135619167567,False,192,48,7,-0.9476654510570761,-0.23408445358499586,0.5700135619167567,False
MOPSO,PySwarm + Pareto repository,4,20280722,17,2229.5713529281297,-16.056731776614214,11.983468175739487,3.9793744654026018,37.81123189665372,7025.236621308459,0.550138692282833,False,192,48,8,-0.9452807974163431,-0.2601939489373503,0.550138692282833,False
MOPSO,PySwarm + Pareto repository,4,20280722,22,2512.556392872365,-17.23851133851514,11.993338994767615,3.8962824150983377,37.64523059693809,7882.147066457598,0.526875969301161,False,192,48,9,-0.9411307649234523,-0.2919313728317629,0.526875969301161,False
MOPSO,PySwarm + Pareto repository,4,20280722,23,2630.710857125229,-17.625218560655398,11.963008021485807,3.827223148296372,37.53001710353615,8227.55195519734,0.5183637786162516,False,192,48,10,-0.9382504275884038,-0.30472414648879037,0.5183637786162515,False
MOPSO,PySwarm + Pareto repository,4,20280722,27,2863.294056742729,-21.96236351575179,11.976266114165009,3.896538689818277,37.39907372062525,8923.712125995788,0.5002357415981824,False,192,48,11,-0.9349768430156313,-0.3305078565183625,0.5002357415981824,False
MOPSO,PySwarm + Pareto repository,4,20280722,31,3093.8373834890303,-21.153892068835788,11.990465852725247,3.90242766089916,37.25624054603277,9605.395814131329,0.4832543805461967,False,192,48,12,-0.9314060136508193,-0.35575540052338256,0.48325438054619674,False
MOPSO,PySwarm + Pareto repository,4,20280722,35,3271.1728871501864,-22.75358214786152,11.982241264045928,3.835791627045352,37.12377384269284,10119.856871909344,0.4714093293970132,False,192,48,13,-0.928094346067321,-0.3748095137744201,0.4714093293970132,False
MOPSO,PySwarm + Pareto repository,4,20280722,42,3532.43592587801,-26.341763591414576,11.985973818554085,4.058157838240241,36.94599618400599,10875.780353144555,0.4544849300790626,False,192,48,14,-0.9236499046001498,-0.40280667974609463,0.4544849300790626,False
MOPSO,PySwarm + Pareto repository,4,20280722,49,3785.153977851184,-28.23813856183196,11.981634826891431,3.8898705680485257,36.7300847713841,11585.75220660131,0.4411335427914314,False,192,48,15,-0.9182521192846025,-0.4291019335778263,0.44113354279143147,False
MOPSO,PySwarm + Pareto repository,4,20280722,52,3947.0531157941978,-27.965259219896254,11.979552538040087,4.010914427612624,36.6123044054164,12042.559181650371,0.4325886181982044,False,192,48,16,-0.9153076101354101,-0.4460207104314952,0.4325886181982044,False
MOPSO,PySwarm + Pareto repository,4,20280722,56,4174.773691840228,-30.56010174988197,11.981386262407169,4.114516103092552,36.43291606624664,12674.931625865804,0.4222837405431526,False,192,48,17,-0.910822901656166,-0.46944191206910385,0.4222837405431526,False
MOPSO,PySwarm + Pareto repository,4,20280722,61,4341.630096406956,-31.571089671978054,11.97303750204848,4.086615104788471,36.28221934248938,13126.997955149209,0.4166359028871033,False,192,48,18,-0.9070554835622344,-0.4861851094499707,0.4166359028871032,False
